"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.00985607779396023
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0.0443523500728211
"17",1,16,0.290754294921827
"18",1,17,0
"19",1,18,0.0443523500728211
"20",1,19,0.330178606097668
"21",1,20,0.246401944849006
"22",1,21,0.0887047001456421
"23",1,22,0.0542084278667813
"24",2,0,0
"25",2,1,0
"26",2,2,0.284996330503465
"27",2,3,0.723452223585719
"28",2,4,0
"29",2,5,0.115094671934092
"30",2,6,0
"31",2,7,0
"32",2,8,0
"33",2,9,0
"34",2,10,0
"35",2,11,0
"36",2,12,0
"37",2,13,0
"38",2,14,0
"39",2,15,0
"40",2,16,0.126056069261148
"41",2,17,0
"42",2,18,0.109613973270563
"43",2,19,0.0822104799529226
"44",2,20,0.115094671934092
"45",2,21,0.0219227946541127
"46",2,22,0
"47",3,0,0
"48",3,1,0
"49",3,2,0
"50",3,3,0
"51",3,4,0
"52",3,5,0
"53",3,6,0.889747486375004
"54",3,7,0
"55",3,8,0
"56",3,9,0
"57",3,10,0
"58",3,11,0
"59",3,12,0
"60",3,13,0
"61",3,14,0.0105295560517752
"62",3,15,0.0737068923624263
"63",3,16,0
"64",3,17,0
"65",3,18,0.0052647780258876
"66",3,19,0.384328795889794
"67",3,20,0.0315886681553256
"68",3,21,0
"69",3,22,0
"70",4,0,0
"71",4,1,0
"72",4,2,0
"73",4,3,0.237170832675422
"74",4,4,1.12704048537127
"75",4,5,1.21945045822685
"76",4,6,4.52965302469835
"77",4,7,0
"78",4,8,0
"79",4,9,0
"80",4,10,0
"81",4,11,0
"82",4,12,0
"83",4,13,0
"84",4,14,0
"85",4,15,0.886685199028116
"86",4,16,0
"87",4,17,0
"88",4,18,0
"89",4,19,0
"90",4,20,0
"91",4,21,0
"92",4,22,0
"93",5,0,0
"94",5,1,0
"95",5,2,0
"96",5,3,0.429567474909366
"97",5,4,1.01375593484396
"98",5,5,4.78276018074757
"99",5,6,0.368120915264106
"100",5,7,0
"101",5,8,0
"102",5,9,0
"103",5,10,0
"104",5,11,0
"105",5,12,0
"106",5,13,0
"107",5,14,0
"108",5,15,0
"109",5,16,0
"110",5,17,0
"111",5,18,1.405795494235
"112",5,19,0
"113",5,20,0
"114",5,21,0
"115",5,22,0
"116",6,0,0
"117",6,1,0
"118",6,2,0.472126062541779
"119",6,3,3.78824959706141
"120",6,4,0
"121",6,5,0.674465803631112
"122",6,6,0.0112410967271852
"123",6,7,0
"124",6,8,0
"125",6,9,0
"126",6,10,0.056205483635926
"127",6,11,0
"128",6,12,0
"129",6,13,0
"130",6,14,0.0449643869087408
"131",6,15,0.191098644362149
"132",6,16,0.269786321452445
"133",6,17,0.0112410967271852
"134",6,18,0
"135",6,19,0
"136",6,20,0
"137",6,21,0.0449643869087408
"138",6,22,0
"139",7,0,0
"140",7,1,0
"141",7,2,1.39176453129957
"142",7,3,2.81720078513059
"143",7,4,0.134686890125765
"144",7,5,0
"145",7,6,0
"146",7,7,0
"147",7,8,0
"148",7,9,0
"149",7,10,0
"150",7,11,0.291821595272491
"151",7,12,0.752001803202189
"152",7,13,0.134686890125765
"153",7,14,0.0448956300419218
"154",7,15,0
"155",7,16,0
"156",7,17,0
"157",7,18,0
"158",7,19,0
"159",7,20,0
"160",7,21,0
"161",7,22,0
"162",8,0,0
"163",8,1,0
"164",8,2,1.48958439185417
"165",8,3,1.47766771671934
"166",8,4,0
"167",8,5,0
"168",8,6,0.417083629719167
"169",8,7,0.0238333502696667
"170",8,8,0
"171",8,9,0
"172",8,10,0
"173",8,11,0
"174",8,12,0.0238333502696667
"175",8,13,1.72791789455084
"176",8,14,0.0119166751348334
"177",8,15,0.798417234033835
"178",8,16,0
"179",8,17,0
"180",8,18,0
"181",8,19,0
"182",8,20,0
"183",8,21,0
"184",8,22,0
"185",9,0,0
"186",9,1,0.124781875822967
"187",9,2,3.22164115761115
"188",9,3,0.294938979217923
"189",9,4,0
"190",9,5,0.0340314206789911
"191",9,6,1.25916256512267
"192",9,7,0.385689434361899
"193",9,8,0
"194",9,9,0.0907504551439761
"195",9,10,0
"196",9,11,0.011343806892997
"197",9,12,0
"198",9,13,0.0453752275719881
"199",9,14,0.0907504551439761
"200",9,15,0.0680628413579821
"201",9,16,0
"202",9,17,0
"203",9,18,0
"204",9,19,0
"205",9,20,0
"206",9,21,0
"207",9,22,0
"208",10,0,0
"209",10,1,0
"210",10,2,0.339674931466834
"211",10,3,2.44266655028876
"212",10,4,4.33070031349485
"213",10,5,0
"214",10,6,0
"215",10,7,0
"216",10,8,0
"217",10,9,0
"218",10,10,0
"219",10,11,0
"220",10,12,0
"221",10,13,0
"222",10,14,0.886958204749551
"223",10,15,0
"224",10,16,0
"225",10,17,0
"226",10,18,0
"227",10,19,0
"228",10,20,0
"229",10,21,0
"230",10,22,0
"231",11,0,0
"232",11,1,0
"233",11,2,0
"234",11,3,0.328533166263504
"235",11,4,1.74104808542867
"236",11,5,5.00757803528421
"237",11,6,0
"238",11,7,0
"239",11,8,0
"240",11,9,0
"241",11,10,0
"242",11,11,0.922840713023618
"243",11,12,0
"244",11,13,0
"245",11,14,0
"246",11,15,0
"247",11,16,0
"248",11,17,0
"249",11,18,0
"250",11,19,0
"251",11,20,0
"252",11,21,0
"253",11,22,0
"254",12,0,0
"255",12,1,0
"256",12,2,1.37117896797306
"257",12,3,3.19439495835483
"258",12,4,0.497240724649572
"259",12,5,0
"260",12,6,0
"261",12,7,0
"262",12,8,0
"263",12,9,0
"264",12,10,0
"265",12,11,0.69312343436001
"266",12,12,0
"267",12,13,0
"268",12,14,0.150679007469567
"269",12,15,0
"270",12,16,0
"271",12,17,0
"272",12,18,0
"273",12,19,0
"274",12,20,0
"275",12,21,0
"276",12,22,0
"277",13,0,0
"278",13,1,0
"279",13,2,0.768529608985632
"280",13,3,0
"281",13,4,0
"282",13,5,0
"283",13,6,0
"284",13,7,0
"285",13,8,0
"286",13,9,0
"287",13,10,0.375404035895454
"288",13,11,1.15987633048889
"289",13,12,0.782886585964378
"290",13,13,0.216462702314429
"291",13,14,4.69684073635122
"292",13,15,0
"293",13,16,0
"294",13,17,0
"295",13,18,0
"296",13,19,0
"297",13,20,0
"298",13,21,0
"299",13,22,0
"300",14,0,0
"301",14,1,0
"302",14,2,0.993371534126337
"303",14,3,0
"304",14,4,0.823189898812566
"305",14,5,0
"306",14,6,0
"307",14,7,0.316430742034611
"308",14,8,0
"309",14,9,0
"310",14,10,0.154785715618547
"311",14,11,1.65881276714473
"312",14,12,0
"313",14,13,0.133248886884288
"314",14,14,3.92016045537892
"315",14,15,0
"316",14,16,0
"317",14,17,0
"318",14,18,0
"319",14,19,0
"320",14,20,0
"321",14,21,0
"322",14,22,0
"323",15,0,0
"324",15,1,0.159679089242153
"325",15,2,0.0185690279266993
"326",15,3,0
"327",15,4,0.439026178642203
"328",15,5,0.592877166138842
"329",15,6,2.26157012206985
"330",15,7,1.33577407438056
"331",15,8,0.806995704294866
"332",15,9,0
"333",15,10,2.38550863730483
"334",15,11,0
"335",15,12,0
"336",15,13,0
"337",15,14,0
"338",15,15,0
"339",15,16,0
"340",15,17,0
"341",15,18,0
"342",15,19,0
"343",15,20,0
"344",15,21,0
"345",15,22,0
"346",16,0,0
"347",16,1,0.419453198986663
"348",16,2,3.93921265135301
"349",16,3,0
"350",16,4,0.0182370956081158
"351",16,5,0.0911854780405789
"352",16,6,1.6231015091223
"353",16,7,0
"354",16,8,0
"355",16,9,0
"356",16,10,0.82066930236521
"357",16,11,0.273556434121737
"358",16,12,0
"359",16,13,0.145896764864926
"360",16,14,0
"361",16,15,0
"362",16,16,0
"363",16,17,0
"364",16,18,0
"365",16,19,0
"366",16,20,0
"367",16,21,0
"368",16,22,0
"369",17,0,0
"370",17,1,0
"371",17,2,0
"372",17,3,0
"373",17,4,0
"374",17,5,0.00327522359566411
"375",17,6,1.60075819002839
"376",17,7,1.29859873241816
"377",17,8,0
"378",17,9,0.219783501686334
"379",17,10,4.87758435227145
"380",17,11,0
"381",17,12,0
"382",17,13,0
"383",17,14,0
"384",17,15,0
"385",17,16,0
"386",17,17,0
"387",17,18,0
"388",17,19,0
"389",17,20,0
"390",17,21,0
"391",17,22,0
"392",18,0,0
"393",18,1,0
"394",18,2,0
"395",18,3,0.0433455001632029
"396",18,4,0.0378119667736201
"397",18,5,0.0938870903944231
"398",18,6,0.781390883377754
"399",18,7,2.86732765465044
"400",18,8,4.17623690464056
"401",18,9,0
"402",18,10,0
"403",18,11,0
"404",18,12,0
"405",18,13,0
"406",18,14,0
"407",18,15,0
"408",18,16,0
"409",18,17,0
"410",18,18,0
"411",18,19,0
"412",18,20,0
"413",18,21,0
"414",18,22,0
"415",19,0,0
"416",19,1,0
"417",19,2,0.00327522359566411
"418",19,3,0.0603750771793968
"419",19,4,0.0103341609678186
"420",19,5,0
"421",19,6,1.62034644557337
"422",19,7,0.53982721125759
"423",19,8,3.62307210275073
"424",19,9,0.297088352628188
"425",19,10,0
"426",19,11,0
"427",19,12,0
"428",19,13,0.383013501766027
"429",19,14,1.46266792428121
"430",19,15,0
"431",19,16,0
"432",19,17,0
"433",19,18,0
"434",19,19,0
"435",19,20,0
"436",19,21,0
"437",19,22,0
"438",20,0,0
"439",20,1,0.0916588854377246
"440",20,2,0.0833856718935215
"441",20,3,0
"442",20,4,0
"443",20,5,0
"444",20,6,0.0770112170928825
"445",20,7,2.12788480774984
"446",20,8,0.673867320189806
"447",20,9,0.956107340445383
"448",20,10,3.99008475719084
"449",20,11,0
"450",20,12,0
"451",20,13,0
"452",20,14,0
"453",20,15,0
"454",20,16,0
"455",20,17,0
"456",20,18,0
"457",20,19,0
"458",20,20,0
"459",20,21,0
"460",20,22,0
